SEANCE,CODE,VALEUR,CLOTURE,VOLUME,VAR_CLOTURE,VAR_VOLUME,PROB_LIQUIDITY
2026-01-02,TN0001100254,SFBT,12.385,82717.0,-1.71,165.92,0.814
2026-01-02,TN0001600154,ATTIJARI BANK,66.655,7771.0,-0.35,80.34,0.84
2026-01-02,TN0001800457,BIAT,109.357,6131.0,-1.48,67.66,0.755
2026-01-02,TN0002200053,BT,6.355,228634.0,-0.71,658.42,0.978
2026-01-02,TN0002600955,STB,3.963,60343.0,-3.1,694.93,0.9
2026-01-02,TN0003100609,BNA,12.046,27617.0,-0.2,392.1,0.91
2026-01-02,TN0006530018,SOTETEL,5.101,8654.0,-2.09,-74.65,0.786
2026-01-02,TN0006560015,SOTUVER,13.864,280033.0,1.2,4072.75,0.99
2026-01-02,TN0007400013,CARTHAGE CEMENT,1.888,91270.0,0.45,89.9,0.678
2026-01-02,TN0007440019,TELNET HOLDING,6.846,10896.0,0.08,35.47,0.857
2026-01-02,TN0007530017,ONE TECH HOLDING,8.764,56077.0,0.16,119.33,0.953
2026-01-02,TN0007570013,EURO-CYCLES,12.542,6024.0,0.42,40.16,0.736
2026-01-02,TN0007610017,SAH,13.615,36944.0,-2.05,91.19,0.686
2026-01-02,TN0007630015,SOTIPAPIER,2.93,9564.0,5.41,672.56,0.753
2026-01-02,TN0007720014,UNIMED,8.941,34914.0,-5.38,-56.32,0.867
2026-01-05,TN0001100254,SFBT,12.399,373984.0,0.10999999940395355,352.1300048828125,0.965
2026-01-05,TN0001600154,ATTIJARI BANK,66.692,12577.0,0.05999999865889549,61.84000015258789,0.91
2026-01-05,TN0001800457,BIAT,109.045,5378.0,-0.28999999165534973,-12.279999732971191,0.714
2026-01-05,TN0002200053,BT,6.35,222249.0,-0.07000000029802322,-2.7899999618530273,0.977
2026-01-05,TN0002600955,STB,3.996,19875.0,0.8199999928474426,-67.05999755859375,0.613
2026-01-05,TN0003100609,BNA,11.897,34176.0,-1.2300000190734863,23.75,0.935
2026-01-05,TN0006530018,SOTETEL,5.097,8013.0,-0.09000000357627869,-7.420000076293945,0.758
2026-01-05,TN0006560015,SOTUVER,13.922,164347.0,0.41999998688697815,-41.310001373291016,0.986
2026-01-05,TN0007400013,CARTHAGE CEMENT,1.886,112374.0,-0.12999999523162842,23.1200008392334,0.75
2026-01-05,TN0007440019,TELNET HOLDING,6.84,6648.0,-0.07999999821186066,-38.9900016784668,0.733
2026-01-05,TN0007530017,ONE TECH HOLDING,8.793,71153.0,0.3400000035762787,26.8799991607666,0.964
2026-01-05,TN0007570013,EURO-CYCLES,12.535,6813.0,-0.05000000074505806,13.09000015258789,0.779
2026-01-05,TN0007610017,SAH,13.556,41229.0,-0.4300000071525574,11.600000381469727,0.72
2026-01-05,TN0007630015,SOTIPAPIER,2.979,9840.0,1.659999966621399,2.880000114440918,0.764
2026-01-05,TN0007720014,UNIMED,9.017,56922.0,0.8399999737739563,63.029998779296875,0.938
2026-01-06,TN0001100254,SFBT,12.413,197312.0,0.10999999940395355,-47.2400016784668,0.938
2026-01-06,TN0001600154,ATTIJARI BANK,66.236,6357.0,-0.6800000071525574,-49.45000076293945,0.799
2026-01-06,TN0001800457,BIAT,108.802,5069.0,-0.2199999988079071,-5.760000228881836,0.696
2026-01-06,TN0002200053,BT,6.345,22999.0,-0.07000000029802322,-89.6500015258789,0.561
2026-01-06,TN0002600955,STB,4.05,25214.0,1.350000023841858,26.8700008392334,0.692
2026-01-06,TN0003100609,BNA,11.809,26379.0,-0.7400000095367432,-22.81999969482422,0.903
2026-01-06,TN0006530018,SOTETEL,5.144,12021.0,0.9300000071525574,50.029998779296875,0.872
2026-01-06,TN0006560015,SOTUVER,14.108,14796.0,1.340000033378601,-91.0,0.752
2026-01-06,TN0007400013,CARTHAGE CEMENT,1.879,1.333387e+06,-0.3700000047683716,1086.5699462890625,0.994
2026-01-06,TN0007440019,TELNET HOLDING,6.855,10589.0,0.2199999988079071,59.290000915527344,0.852
2026-01-06,TN0007530017,ONE TECH HOLDING,8.846,68008.0,0.6000000238418579,-4.420000076293945,0.961
2026-01-06,TN0007570013,EURO-CYCLES,12.53,7923.0,-0.03999999910593033,16.280000686645508,0.814
2026-01-06,TN0007610017,SAH,13.537,29189.0,-0.14000000059604645,-29.200000762939453,0.609
2026-01-06,TN0007630015,SOTIPAPIER,3.03,10890.0,1.7300000190734863,10.670000076293945,0.783
2026-01-06,TN0007720014,UNIMED,9.087,28013.0,0.7799999713897705,-50.790000915527344,0.819
2026-01-07,TN0001100254,SFBT,12.471,66085.0,0.4699999988079071,-66.51000213623047,0.745
2026-01-07,TN0001600154,ATTIJARI BANK,65.856,6245.0,-0.5699999928474426,-1.7599999904632568,0.795
2026-01-07,TN0001800457,BIAT,110.301,4496.0,1.3799999952316284,-11.300000190734863,0.652
2026-01-07,TN0002200053,BT,6.317,24739.0,-0.44999998807907104,7.559999942779541,0.593
2026-01-07,TN0002600955,STB,4.044,22957.0,-0.14000000059604645,-8.949999809265137,0.663
2026-01-07,TN0003100609,BNA,11.763,23961.0,-0.38999998569488525,-9.15999984741211,0.883
2026-01-07,TN0006530018,SOTETEL,5.181,11276.0,0.7200000286102295,-6.199999809265137,0.854
2026-01-07,TN0006560015,SOTUVER,14.056,15977.0,-0.3700000047683716,7.980000019073486,0.779
2026-01-07,TN0007400013,CARTHAGE CEMENT,1.877,1.935187e+06,-0.10999999940395355,45.130001068115234,0.994
2026-01-07,TN0007440019,TELNET HOLDING,6.906,11694.0,0.7400000095367432,10.4399995803833,0.874
2026-01-07,TN0007530017,ONE TECH HOLDING,8.87,95951.0,0.27000001072883606,41.09000015258789,0.975
2026-01-07,TN0007570013,EURO-CYCLES,12.539,8651.0,0.07000000029802322,9.199999809265137,0.851
2026-01-07,TN0007610017,SAH,13.465,40703.0,-0.5299999713897705,39.439998626708984,0.715
2026-01-07,TN0007630015,SOTIPAPIER,3.023,11447.0,-0.23999999463558197,5.119999885559082,0.794
2026-01-07,TN0007720014,UNIMED,9.051,27137.0,-0.4000000059604645,-3.130000114440918,0.81
2026-01-08,TN0001100254,SFBT,12.634,61556.0,1.309999942779541,-6.849999904632568,0.725
2026-01-08,TN0001600154,ATTIJARI BANK,61.318,9698.0,-6.889999866485596,55.290000915527344,0.867
2026-01-08,TN0001800457,BIAT,110.098,4178.0,-0.18000000715255737,-7.059999942779541,0.618
2026-01-08,TN0002200053,BT,6.382,30184.0,1.0299999713897705,22.010000228881836,0.66
2026-01-08,TN0002600955,STB,4.066,20674.0,0.5600000023841858,-9.9399995803833,0.638
2026-01-08,TN0003100609,BNA,11.952,39226.0,1.6100000143051147,63.709999084472656,0.949
2026-01-08,TN0006530018,SOTETEL,5.343,8646.0,3.130000114440918,-23.31999969482422,0.798
2026-01-08,TN0006560015,SOTUVER,13.917,15855.0,-0.9900000095367432,-0.7699999809265137,0.772
2026-01-08,TN0007400013,CARTHAGE CEMENT,1.868,3.581276e+06,-0.4699999988079071,85.05999755859375,0.998
2026-01-08,TN0007440019,TELNET HOLDING,6.86,7613.0,-0.6700000166893005,-34.900001525878906,0.779
2026-01-08,TN0007530017,ONE TECH HOLDING,8.885,82509.0,0.17000000178813934,-14.010000228881836,0.968
2026-01-08,TN0007570013,EURO-CYCLES,12.547,6909.0,0.05999999865889549,-20.1299991607666,0.783
2026-01-08,TN0007610017,SAH,13.527,29100.0,0.46000000834465027,-28.510000228881836,0.609
2026-01-08,TN0007630015,SOTIPAPIER,3.003,12727.0,-0.6600000262260437,11.170000076293945,0.82
2026-01-08,TN0007720014,UNIMED,9.034,28793.0,-0.1899999976158142,6.099999904632568,0.823
