Nom,Ouverture,+Haut,+Bas,Volume (titres),Volume (DT),Dernier,Variation
ADWYA,5.95,5.95,5.95,9 422,56061,5.95,0.00%
AETECH,0.43,0.43,0.42,73,31,0.42,-2.33%
AIR LIQUIDE TUNISIE,163.00,163.00,163.00,78,12714,163.00,0.00%
AMEN BANK,56.48,56.50,56.00,5 405,302680,56.00,-0.85%
AMS,0.95,0.95,0.95,1 574,1495,0.95,0.00%
ARAB TUNISIAN BANK,3.60,3.60,3.56,10,36,3.56,-1.11%
ARAB TUNISIAN LEASE,8.15,8.16,7.80,46 621,368306,7.90,-3.07%
ARTES,12.99,13.15,12.99,11 262,147983,13.14,1.15%
ASSAD,3.20,3.20,3.20,30 799,98557,3.20,0.00%
ASSURANCES MAGHREBIA,59.80,59.80,59.80,720,43056,59.80,0.00%
ASTREE,47.00,47.00,46.00,30,1380,46.00,-2.13%
ATTIJARI BANK,68.50,69.00,67.80,20 320,1391920,68.50,0.00%
ATTIJARI LEASING,31.32,32.01,31.20,842,26944,32.00,2.17%
BANQUE DE TUNISIE,6.99,7.04,6.99,54 823,385954,7.04,0.72%
BANQUE NATIONALE AGRICOLE,13.35,13.40,13.10,40 741,535744,13.15,-1.50%
BEST LEASE,2.26,2.26,2.26,726,1641,2.26,0.00%
BH ASSURANCE,62.99,63.00,62.99,13 192,831096,63.00,0.02%
BH BANK,10.25,10.25,10.00,601,6160,10.25,0.00%
BH LEASING,3.80,3.80,3.63,649,2356,3.63,-4.47%
BIAT,129.85,132.00,129.85,2 035,268620,132.00,1.66%
BNA ASSURANCES,3.00,3.09,3.00,13 268,40733,3.07,2.33%
BTE (ADP),3.72,3.88,3.57,436,1692,3.88,-0.26%
CARTHAGE CEMENT,1.91,1.95,1.86,251 586,485561,1.93,1.05%
CELLCOM,2.75,2.83,2.75,8 342,23608,2.83,2.91%
CEREALIS,13.30,13.30,13.30,42,559,13.30,0.00%
CIL,32.30,33.00,32.30,2 846,92210,32.40,0.31%
CIMENTS DE BIZERTE,0.50,0.50,0.48,197,95,0.48,0.00%
CITY CARS,23.95,25.19,23.95,4 869,120264,24.70,3.13%
DELICE HOLDING,14.58,14.60,14.38,14 608,211816,14.50,-0.55%
ELBENE,2.28,2.28,2.28,20,46,2.28,10.14%
ELECTROSTAR,0.31,0.31,0.30,555,167,0.30,-3.23%
ENNAKL AUTOMOBILES,16.43,17.41,16.43,1 628,28327,17.40,5.90%
ESSOUKNA,3.79,3.81,3.77,3 609,13750,3.81,0.53%
EURO-CYCLES,11.59,11.77,11.58,6 392,74786,11.70,0.95%
GIF FILTER,0.43,0.44,0.43,14 344,6311,0.44,10.00%
HANNIBAL LEASE,7.25,7.25,7.25,1 420,10295,7.25,0.00%
HEXABYTE,7.55,7.55,7.55,1,8,7.55,0.00%
ICF,77.05,79.00,76.90,855,65835,77.00,-0.06%
LAND'OR,15.70,15.70,15.43,3 881,60544,15.60,-0.64%
MAGASIN GENERAL,10.00,10.00,10.00,130,1300,10.00,0.00%
MAGHREBIA VIE,7.77,7.89,7.77,17 672,137311,7.77,0.00%
MEUBLES INTERIEURS,4.25,4.35,4.25,2 364,10165,4.30,1.18%
MIP,0.08,0.08,0.08,50,4,0.08,0.00%
MONOPRIX,5.95,6.20,5.95,50,310,6.20,4.20%
MPBS,8.20,8.20,8.08,682,5592,8.20,0.00%
NEW BODY LINE,3.76,3.83,3.76,443,1666,3.76,0.00%
OFFICE PLAST,2.37,2.44,2.33,43 245,105085,2.43,2.53%
ONE TECH,8.90,8.90,8.70,24 719,217527,8.80,-1.12%
PLACEMENTS DE TUNISIE - SICAF,41.80,41.80,41.80,6 350,265430,41.80,0.00%
POULINA GROUP HOLDING,21.20,21.35,21.02,21 890,467352,21.35,0.71%
SAH,14.29,14.29,14.10,17 057,243745,14.29,0.00%
SANIMED,0.75,0.78,0.75,47,37,0.78,4.00%
SERVICOM,0.21,0.22,0.21,500,110,0.22,4.76%
SFBT,13.39,13.50,13.30,16 566,222647,13.44,0.37%
SIAME,2.80,2.90,2.80,2 985,8418,2.82,0.71%
SIMPAR,35.60,35.60,35.41,2,71,35.41,-0.53%
SIPHAT,3.45,3.45,3.45,29,100,3.45,0.00%
SITS,3.53,3.53,3.41,368,1255,3.41,9.29%
SMART TUNISIE,19.50,19.50,19.30,4 569,88867,19.45,-0.26%
SOCIETE CHIMIQUE ALKIMIA,13.00,13.00,12.42,423,5254,12.42,-4.46%
SOMOCER,0.56,0.56,0.55,89 894,49442,0.55,-14.06%
SOPAT,2.05,2.05,2.05,52 796,108232,2.05,0.00%
SOTEMAIL,3.00,3.00,3.00,42,126,3.00,0.00%
SOTETEL,6.12,6.18,6.10,7 720,47710,6.18,0.98%
SOTIPAPIER,2.67,2.83,2.67,6 747,18622,2.76,3.37%
SOTRAPIL,23.65,23.78,23.65,45,1067,23.70,0.21%
SOTUMAG,9.83,9.83,9.80,582,5704,9.80,-0.31%
SOTUVER,14.59,14.98,14.59,30 290,448292,14.80,1.44%
SPDIT - SICAF,12.96,12.96,12.80,6,77,12.80,-1.23%
STA,59.99,61.00,58.50,1 854,110869,59.80,-0.32%
STAR,57.30,58.00,57.00,4 843,280894,58.00,1.22%
STB BANK,3.78,3.78,3.75,21 768,81630,3.75,-0.79%
STEQ,6.50,6.50,6.50,21 015,136598,6.50,0.00%
STIP,3.81,3.81,3.64,42,153,3.64,-4.71%
SYPHAX AIRLINES,3.88,3.90,3.88,711,2773,3.90,-2.01%
TAWASOL,0.84,0.84,0.84,7 099,5963,0.84,0.00%
TELNET HOLDING,6.35,6.40,6.35,2 393,15267,6.38,0.47%
TPR,13.20,13.61,13.20,13 594,185014,13.61,3.11%
TUNINDEX,14525.35,14600.51,14525.35,4 326 679,63165705922,14599.12,0.51%
TUNINVEST - SICAR,41.40,41.50,41.40,28,1162,41.50,0.24%
TUNIS RE,12.90,12.90,12.90,46 496,599798,12.90,0.00%
TUNISAIR,0.34,0.34,0.33,2 588,854,0.33,0.00%
TUNISIAN BOND INDEX,236.76,236.76,236.76,0,0,236.76,0.03%
TUNISIE LEASING & FACTORING,41.00,41.50,41.00,2 605,108108,41.50,1.22%
TUNISIE VALEURS,17.48,17.48,17.48,416,7272,17.48,0.00%
UADH,0.53,0.53,0.52,9 450,4914,0.52,-1.89%
UBCI,37.10,38.70,37.10,1,39,38.70,4.31%
UIB,26.50,26.60,26.50,1 881,50035,26.60,0.38%
UNIMED,9.06,9.20,9.06,9 922,91183,9.19,1.43%
WIFAK INT BANK,7.20,7.20,7.03,1 113,7824,7.03,-2.36%
