Ticker,Train_RMSE,Train_MAE,Val_RMSE,Val_MRP_RMSE,Val_MAE,Val_DA_t+1,Val_DA_t+5,Val_DA_Avg
TN0001000108,0.03165231732443756,0.022717267330712877,0.22729305698389432,3.756910032791642,0.1846375760988593,0.0,0.0,20.0
TN0001100254,0.055645810747066315,0.03981060329235054,0.2409942779170663,1.7888530130423568,0.22481369924217667,100.0,100.0,100.0
TN0001200401,0.003231483584702935,0.0023696905404829638,0.010035668247745213,3.004691092139285,0.009205109080744733,100.0,0.0,40.0
TN0001400704,0.034596651101524496,0.023110847777861262,0.12858207774265656,0.9959882086960229,0.11322343877676425,100.0,0.0,60.0
TN0001600154,0.15485279872559918,0.10932525869084658,0.5484003199183957,0.8055470488533677,0.45707969470549586,100.0,100.0,100.0
TN0001800457,0.37558559596991375,0.26444153760252576,2.6740001595109515,2.0666204185106665,2.643135512171193,0.0,100.0,80.0
TN0001900604,0.020256684770905815,0.01445806507764912,0.23217675061883197,2.280266653101866,0.21710916702027064,100.0,0.0,40.0
TN0002100907,0.06573756394448069,0.04642627915464125,1.0409152692365229,2.523553309824774,0.9615463155410453,100.0,0.0,40.0
TN0002600955,0.01833625111426935,0.013366812834412631,0.05474683791259559,1.4467980420876212,0.04345738738505407,0.0,0.0,20.0
TN0003200755,0.42591473090753457,0.3102139390497527,1.9456810225641756,2.489292779821621,1.7907858819520754,100.0,0.0,40.0
TN0003400058,0.0933885559091877,0.06298779624926594,0.8530919979234557,1.535055957684269,0.705722779786683,100.0,100.0,100.0
TN0003900107,0.07800597807208967,0.05511130271347848,0.3171390130326173,1.2055767240652981,0.2806472049324832,100.0,100.0,100.0
TN0005700018,0.04109444674171392,0.028466262592831335,0.17174945865038457,0.8123614542161789,0.1418891634914921,0.0,100.0,60.0
TN0006530018,0.02550220629917157,0.018948155716398764,0.13533343694272282,2.1870303319767745,0.12196280934679056,100.0,100.0,80.0
TN0006560015,0.03398047332700894,0.024632642169188597,0.07690302036800634,0.5271663035920369,0.06447114260363555,0.0,100.0,80.0
TN0006580013,0.0162800438422355,0.011751724693665606,0.5489451326826309,5.65689543160172,0.49301666853995485,0.0,0.0,0.0
TN0006590012,0.013193864078470575,0.009366826554362473,0.09541382755600257,3.357277535397698,0.08637994683280521,100.0,0.0,40.0
TN0006610018,0.05974270341887797,0.041519892660776235,1.2882455810768527,4.220158491374083,0.907170177719442,100.0,0.0,60.0
TN0006660013,0.05565106910984361,0.03959524035120854,0.3020829755610111,1.2876512172251113,0.24839457388774733,0.0,0.0,20.0
TN0006780019,0.005158543089597922,0.003803762600827089,0.0782265632832582,12.377620772667436,0.07177822196241843,0.0,100.0,20.0
TN0007140015,0.022394024638046992,0.01610828829825125,0.07476743990737632,2.317651578033984,0.06865076198162638,100.0,100.0,100.0
TN0007210016,0.012991214482498905,0.00951836342183294,0.13783361321753343,3.656064011075158,0.13050038366121397,0.0,100.0,40.0
TN0007270010,0.020424683175799003,0.014723449737092968,0.7031045151216015,5.288090516859216,0.6003212565113799,0.0,100.0,20.0
TN0007300015,0.027580667134074397,0.01966718235860854,0.20303675255363682,1.5882098916899,0.1763879769773425,100.0,100.0,60.0
TN0007380017,0.026277850983283883,0.018486762167694085,0.47481928307876764,3.69336716769421,0.46369656108842533,100.0,0.0,40.0
TN0007400013,0.008927848269672908,0.006678777774428085,0.021348225913503476,1.1247748110381177,0.018768340080831038,100.0,0.0,60.0
TN0007410012,0.03841383290475733,0.025604652030474177,1.0669570470907281,6.680171845045882,0.7175091872316983,100.0,100.0,60.0
TN0007440019,0.0316455453439314,0.02322592907229123,0.1872521306729234,2.9049353191579796,0.15641516122482776,100.0,0.0,60.0
TN0007530017,0.03821647093197327,0.027357066986912714,0.97299823741696,10.959655749233612,0.6125716845030741,0.0,0.0,40.0
TN0007540016,0.02024595506716496,0.014170893463421989,0.10067912979914287,2.65364074325627,0.08830043790769873,0.0,0.0,40.0
TN0007550015,0.047775880950613116,0.03326840033752137,2.687682362732158,11.67136686960291,2.4264242137807175,0.0,0.0,0.0
TN0007570013,0.11970225752293924,0.08606784296633592,0.10904958393021046,0.9365302639145522,0.10487429134689527,0.0,100.0,80.0
TN0007610017,0.0408572531938675,0.02965827790316891,0.32028695688924186,2.237578293204149,0.3124743356061092,0.0,0.0,0.0
TN0007620016,0.035641180494564176,0.026024144857730136,0.10816093961229159,1.3116776571949016,0.08312426805930713,100.0,0.0,60.0
TN0007630015,0.023137781840781878,0.016881170416153606,0.17856876020994542,6.841714950572622,0.14495060588219816,0.0,0.0,0.0
TN0007650013,0.0039052844086018917,0.0028866337535157775,0.0293130678147931,3.5487975562703515,0.01897458722609848,100.0,0.0,40.0
TN0007670011,0.07523810797703893,0.053280168615513684,0.10222533477167557,0.7033530670956073,0.08533661918360096,100.0,100.0,100.0
TN0007690019,0.009384927196947203,0.007083868251707367,0.028690484231452762,5.3328037604930785,0.021837053010288397,0.0,100.0,60.0
TN0007720014,0.035398324605585375,0.025866623680201196,0.17332393639338645,1.9025679077210371,0.1702564053742009,0.0,0.0,0.0
TNNGTFLC2986,0.03931404321393495,0.02803583165153448,7.45147080322038,12.197529551842168,6.518059146485048,0.0,0.0,0.0
TNQPQXRODTH8,0.025862824899085455,0.018491150984518038,0.2701094237815989,1.3915992982050434,0.2299799363341215,100.0,100.0,100.0
